date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-04-30,823471,656941,Kyle Schwarber,PHI,SF,H,2,True,,4.45,L,R,1,1,1,0,0.8075040783034257,0,0.09090909090909091,1.0,0,1,-419,Kyle Schwarber,draftkings,-190,142,2026-04-30T20:39:00.033407+00:00,0.23250622477891297,True,5:35 PM ET
2026-04-30,823471,808982,Jung Hoo Lee,SF,PHI,A,7,True,,4.0,L,L,0,1,1,0,0.7565938206480783,1,0.45454545454545453,2.0,0,1,-311,Jung Hoo Lee,draftkings,-163,123,2026-04-30T20:39:00.033407+00:00,0.22076180877573376,True,5:35 PM ET
2026-04-30,823471,702222,Justin Crawford,PHI,SF,H,7,True,,3.95,L,R,1,1,1,0,0.7565938206480783,0,0.16666666666666666,1.0,0,1,-311,Justin Crawford,draftkings,-166,125,2026-04-30T20:39:00.033407+00:00,0.21237323067704122,True,5:35 PM ET
2026-04-30,823471,681082,Bryson Stott,PHI,SF,H,5,True,,4.15,L,R,1,1,1,0,0.8075040783034257,0,0.2222222222222222,1.0,0,1,-419,Bryson Stott,draftkings,-203,151,2026-04-30T20:39:00.033407+00:00,0.20528933855141873,True,5:35 PM ET
2026-04-30,823471,656305,Matt Chapman,SF,PHI,A,2,True,,4.5,R,L,1,1,1,0,0.7565938206480783,0,0.15789473684210525,1.0,0,1,-311,Matt Chapman,draftkings,-170,127,2026-04-30T20:39:00.033407+00:00,0.201649009264595,True,5:35 PM ET
2026-04-30,823471,606992,Eric Haase,SF,PHI,A,8,True,,3.9,R,L,1,1,1,0,0.6679160419790104,0,0.23529411764705882,1.0,0,1,-201,Eric Haase,draftkings,-126,-105,2026-04-30T20:39:00.033407+00:00,0.1980081387877488,True,5:35 PM ET
2026-04-30,823471,646240,Rafael Devers,SF,PHI,A,5,True,,4.2,L,L,0,1,1,0,0.746268656716418,0,0.14285714285714285,1.0,0,1,-294,Rafael Devers,draftkings,-166,125,2026-04-30T20:39:00.033407+00:00,0.1958280884732963,True,5:35 PM ET
2026-04-30,823471,642715,Willy Adames,SF,PHI,A,6,True,,4.1,R,L,1,1,1,0,0.7475728155339806,0,0.04,1.0,0,1,-296,Willy Adames,draftkings,-168,126,2026-04-30T20:39:00.033407+00:00,0.1925566343042071,True,5:35 PM ET
2026-04-30,823471,669477,Casey Schmitt,SF,PHI,A,4,True,,4.3,R,L,1,1,1,0,0.7565938206480783,0,0.2,1.0,0,1,-311,Casey Schmitt,draftkings,-192,143,2026-04-30T20:39:00.033407+00:00,0.15065310223561917,True,5:35 PM ET
2026-04-30,823471,596117,Garrett Stubbs,PHI,SF,H,9,True,,3.75,L,R,1,1,1,0,0.6659794769127206,0,0.2,1.0,0,1,-199,Garrett Stubbs,draftkings,-145,109,2026-04-30T20:39:00.033407+00:00,0.12527566788701078,True,5:35 PM ET
2026-04-30,823714,672960,Kazuma Okamoto,TOR,MIN,A,4,True,,4.3,R,R,0,1,1,0,0.7565938206480783,0,0.3,1.0,0,10,-311,Kazuma Okamoto,draftkings,-159,119,2026-04-30T20:39:00.033407+00:00,0.23243899086699554,True,7:40 PM ET
2026-04-30,823714,660821,Jesús Sánchez,TOR,MIN,A,2,True,,4.5,L,R,1,1,1,0,0.7663551401869159,0,0.25,1.0,0,10,-328,Jesus Sanchez,draftkings,-185,139,2026-04-30T20:39:00.033407+00:00,0.1806011619095731,True,7:40 PM ET
2026-04-30,823714,663616,Trevor Larnach,MIN,TOR,H,2,True,,4.45,L,R,1,1,1,0,0.7565938206480783,0,0.2916666666666667,1.0,0,7,-311,Trevor Larnach,draftkings,-183,137,2026-04-30T20:39:00.033407+00:00,0.1700330669038589,True,7:40 PM ET
2026-04-30,823714,662139,Daulton Varsho,TOR,MIN,A,5,True,,4.2,L,R,1,1,1,0,0.7467545207748587,0,0.1111111111111111,1.0,0,10,-295,Daulton Varsho,draftkings,-188,140,2026-04-30T20:39:00.033407+00:00,0.1439643722508474,True,7:40 PM ET
2026-04-30,823714,665019,Kody Clemens,MIN,TOR,H,6,True,,4.05,L,R,1,1,1,0,0.6679160419790104,0,0.2608695652173913,1.0,0,7,-201,Kody Clemens,draftkings,-145,109,2026-04-30T20:39:00.033407+00:00,0.1285477950679832,True,7:40 PM ET
